model_name,size,seed,quant,rep,accuracy,f1,throughput,latency,gpu_peak_mem_mb,cpu_rss_mb,param_count,param_mem_mb,vm_instance
meta-llama/Llama-3.2-1B-Instruct,1,,bf16,1,0.5145888594164456,0.1473951715374841,3.9935524387550383,0.2504036231740938,2912.0,2226.97265625,1235814400,2357.12890625,eval_02
meta-llama/Llama-3.2-1B-Instruct,1,,4bit,1,0.506631299734748,0.0275665399239543,3.5578987497982126,0.2810647717439163,1108.0,2257.74609375,749275136,965.12890625,eval_02
meta-llama/Llama-3.2-3B-Instruct,3,,bf16,1,0.5032553653243308,0.0134099616858237,1.1326440398621995,0.8828899149300804,6976.0,2523.234375,3212749824,6127.833984375,eval_02
meta-llama/Llama-3.2-3B-Instruct,3,,4bit,1,0.5107306486616832,0.0433757661480433,0.6307119916246953,1.5855097307156472,2306.0,3544.03515625,1803463680,2095.833984375,eval_02
meta-llama/Llama-3.2-11B-Vision-Instruct,11,,bf16,1,0.6054979503255365,0.3497615262321145,3.6577396602517487,0.2733928854660951,18790.0,2281.52734375,9775192080,18644.699249267574,eval_02
meta-llama/Llama-3.2-11B-Vision-Instruct,11,,4bit,1,0.7612732095490716,0.6878940731399747,6.5851947440769845,0.1518557975676337,6618.0,2869.23046875,5413115920,6164.699249267578,eval_02
hpieris/VibeLlama-1b-seed-42,1,42.0,4bit,1,0.937786351579455,0.9378313253012048,12.199203618834575,0.0819725640496795,1102.0,1793.16796875,750979072,971.62890625,eval_03
hpieris/VibeLlama-1b-seed-123,1,123.0,4bit,1,0.939233180612491,0.9393939393939394,12.569561880016296,0.079557267750903,1114.0,1920.1796875,750979072,971.62890625,eval_03
hpieris/VibeLlama-1b-seed-456,1,456.0,4bit,1,0.9344104171690378,0.9342995169082126,12.718796226566663,0.0786237928642357,1114.0,1987.74609375,750979072,971.62890625,eval_03
hpieris/VibeLlama-1b-seed-789,1,789.0,4bit,1,0.9368217988907644,0.9367760617760618,12.857925560214964,0.0777730431955682,1114.0,1993.86328125,750979072,971.62890625,eval_03
